clustername,EpiVal,EpiVar,Color,variable,value,variable_fac
10_-1,absent,PIWI,PIWIabsent,Weighted Degree,2191400,Weighted Degree
10_1,present,PIWI,PIWIpresent,Weighted Degree,60640196.0909091,Weighted Degree
2_-1,absent,PIWI,PIWIabsent,Weighted Degree,161375980.375,Weighted Degree
3_1,present,PIWI,PIWIpresent,Weighted Degree,38162597.3571429,Weighted Degree
4_-1,absent,PIWI,PIWIabsent,Weighted Degree,10990099.4,Weighted Degree
5_-1,absent,PIWI,PIWIabsent,Weighted Degree,67473705,Weighted Degree
5_1,present,PIWI,PIWIpresent,Weighted Degree,7633424,Weighted Degree
6_-1,absent,PIWI,PIWIabsent,Weighted Degree,5750007,Weighted Degree
6_1,present,PIWI,PIWIpresent,Weighted Degree,14183818.24,Weighted Degree
7_1,present,PIWI,PIWIpresent,Weighted Degree,27125343.6666667,Weighted Degree
8_1,present,PIWI,PIWIpresent,Weighted Degree,48311779.7692308,Weighted Degree
9_-1,absent,PIWI,PIWIabsent,Weighted Degree,8327552.16666667,Weighted Degree
9_1,present,PIWI,PIWIpresent,Weighted Degree,16723923.6666667,Weighted Degree
