Network,Modularity,Degree,Clustersize,ConnectedComponent,Density,WeightedDegree,ID,Degree_z,WeightedDegree_z,Density_z,Modularity_z,Color
Bipartite_2018-11-08_oo_stat__5S-Core-RTE,0.913680663295024,11.2859468634175,0,1,0.000195471653591588,275796.447019294,5S-Core-RTE,0.0378269304829967,-0.00458532225025317,-0.406580609883681,-0.092298383089639,other TEs
Bipartite_2018-11-08_oo_stat__5S-Deu,0.913604440150756,11.2863404071026,0,1,0.000195522493366756,275604.948462538,5S-Deu,0.0477863604436311,-0.0778500311522199,-0.391223787061341,-0.243525772287815,other TEs
Bipartite_2018-11-08_oo_stat__Academ-1,0.913638607831776,11.2883787163101,0,1,0.000196036655198758,276207.361732426,Academ-1,0.0993699547342979,0.152624984454322,-0.235914442559153,-0.175736792376117,other TEs
Bipartite_2018-11-08_oo_stat__Academ-2,0.913651821406256,11.2877462275428,0,1,0.000195560398952579,275780.892846624,Academ-2,0.0833635294852861,-0.0105361343721263,-0.37977390626388,-0.149520944292403,other TEs
Bipartite_2018-11-08_oo_stat__Academ-H,0.913673644744163,11.2864269382665,0,1,0.000195500284738987,275797.063916026,Academ-H,0.049976208986846,-0.00434930606173618,-0.397932195205291,-0.106223249780925,other TEs
Bipartite_2018-11-08_oo_stat__Academ,0.913679542878397,11.2835205213533,0,1,0.000195571895681659,275900.201781753,Academ,-0.0235766309557547,0.035109820091719,-0.376301168020352,-0.0945212995397177,other TEs
Bipartite_2018-11-08_oo_stat__Alu,0.91368518324039,11.2860483242401,0,1,0.00019548356816157,275799.95704512,Alu,0.0403946046552571,-0.00324243473858088,-0.402981657299631,-0.0833307716950658,other TEs
Bipartite_2018-11-08_oo_stat__B2,0.913709510029201,11.2861176063047,0,1,0.000195484768183474,275726.369862302,B2,0.0421479293712592,-0.0313958768292372,-0.402619174898762,-0.0350662085528395,other TEs
Bipartite_2018-11-08_oo_stat__B4,0.91368347955993,11.2844201957218,0,1,0.000195455367646826,275782.743154066,B4,-0.000808526170364231,-0.00982823224276643,-0.411499993720014,-0.0867108887248014,other TEs
Bipartite_2018-11-08_oo_stat__Bhikhari,0.913691010794277,11.2802425292334,0,1,0.000195416854847783,275817.162477263,Bhikhari,-0.106532943462968,0.0033401265028097,-0.423133291257777,-0.0717688534862713,other TEs
