variable,value
inactive.Singletons,0.00123482658500789
inactive.Singletons,5.25114030957641e-05
inactive.Singletons,0.0255648775664417
inactive.Singletons,0.00582202475945197
inactive.Singletons,0.000525744200471174
inactive.Singletons,0.00011734361768822
inactive.Singletons,0.000149125476287828
inactive.Singletons,0.000709047003326638
inactive.Singletons,0.000206320951777115
inactive.Singletons,0.000540392008192177
inactive.Singletons,0.000586959104946743
inactive.Singletons,0.000483288607793309
inactive.Singletons,0.00255795605888127
inactive.Singletons,0.00255760242281853
inactive.Singletons,0.00126793974038723
inactive.Singletons,0.00519817524943721
inactive.Singletons,0.00508176868925177
inactive.Singletons,0.00026752983369093
inactive.Singletons,0.000832954662809116
inactive.Singletons,0.000136202343396711
inactive.Singletons,7.64471706132164e-05
inactive.Singletons,0.00317958353985008
inactive.Singletons,0.00117227223192838
inactive.Singletons,0.00155476387109487
inactive.Singletons,0.00288898262820651
inactive.Singletons,0.00867879419746895
inactive.Singletons,4.48072782651419e-05
inactive.Singletons,0.000445591867130087
inactive.Singletons,0.0109874460670928
inactive.Singletons,5.95786414432603e-05
inactive.Singletons,0.00744612869987476
inactive.Singletons,0.000212258302316207
inactive.Singletons,0.000231748634318062
inactive.Singletons,0.00117245792889609
inactive.Singletons,0.000654069644468777
inactive.Singletons,2.34311814237319e-05
inactive.Singletons,0.0297478697296541
inactive.Singletons,0.00117264364530319
inactive.Singletons,0.000252606396125486
inactive.Singletons,0.00114274077696116
inactive.Singletons,0.00556466800137373
inactive.Singletons,3.36221344013237e-05
inactive.Singletons,0.00282041908782286
inactive.Singletons,4.0678754266085e-05
inactive.Singletons,0.00288781172005661
inactive.Singletons,0.00120364860963642
inactive.Singletons,0.00282080191894855
inactive.Singletons,0.00014440731623668
inactive.Singletons,0.00120307924635777
inactive.Singletons,0.00126615644224127
inactive.Singletons,0.000974941221166029
inactive.Singletons,0.000194473489072715
inactive.Singletons,8.38783900792054e-05
inactive.Singletons,0.000245416599519487
inactive.Singletons,0.000810907418564806
inactive.Singletons,0.0297455990479031
inactive.Singletons,0.000878579001447321
inactive.Singletons,0.00190231128653038
inactive.Singletons,0.00204938211278964
inactive.Singletons,0.00151687550806041
inactive.Singletons,0.000172884239143948
inactive.Singletons,0.00232092322242313
inactive.Singletons,0.00133476360224361
inactive.Singletons,0.00317831823309938
inactive.Singletons,3.05349423061624e-05
inactive.Singletons,2.22315844689784e-06
inactive.Singletons,0.000212301396681427
inactive.Singletons,0.02508915841324
inactive.Singletons,0.000120911299298924
inactive.Singletons,3.58248065051182e-05
inactive.Singletons,0.00204938211278964
inactive.Singletons,0.00262283629418138
inactive.Singletons,0.00474310202922638
inactive.Singletons,0.00249765791585335
inactive.Singletons,0.00085527124405744
inactive.Singletons,0.000976214801463489
inactive.Singletons,0.000365815577374719
inactive.Singletons,0.000107109042895516
inactive.Singletons,0.00133310896135162
inactive.Singletons,0.00129883003968289
inactive.Singletons,0.00155546871776816
inactive.Singletons,0.00108469287621531
inactive.Singletons,0.000308982420676912
inactive.Singletons,1.52625269419138e-05
inactive.Singletons,0.00375756717687457
inactive.Singletons,0.000976533370745235
inactive.Singletons,0.000120805996642745
inactive.Singletons,1.05176286336297e-05
inactive.Singletons,0.0055640093711263
inactive.Singletons,0.00100222879346347
inactive.Singletons,0.0105268384950862
inactive.Singletons,0.00090187700105633
inactive.Singletons,0.00556466800137373
inactive.Singletons,0.00442334618286016
inactive.Singletons,0.00531826354232625
inactive.Singletons,0.00215510034831549
inactive.Singletons,0.000748477908298787
