DNMT,Genome,variable,value
1,Soboliphyme_baturini,activeSingleton,0
1,Solenopsis_invicta,activeSingleton,3
-1,Spirometra_erinaceieuropaei,activeSingleton,0
1,Stegodyphus_mimosarum,activeSingleton,37
-1,Steinernema_carpocapsae,activeSingleton,0
-1,Steinernema_scapterisci,activeSingleton,0
1,Strigamia_maritima,activeSingleton,40
1,Strongylocentrotus_purpuratus,activeSingleton,0
-1,Strongyloides_ratti,activeSingleton,0
-1,Strongyloides_venezuelensis,activeSingleton,2
-1,Strongylus_vulgaris,activeSingleton,0
-1,Syphacia_muris,activeSingleton,0
-1,Taenia_asiatica,activeSingleton,0
-1,Taenia_saginata,activeSingleton,0
-1,Teladorsagia_circumcincta,activeSingleton,2
1,Tetranychus_urticae,activeSingleton,1
-1,Thelazia_callipaeda,activeSingleton,0
-1,Thelohanellus_kitauei,activeSingleton,35
-1,Toxocara_canis,activeSingleton,0
1,Tribolium_castaneum,activeSingleton,3
1,Trichinella_nelsoni,activeSingleton,0
1,Trichinella_pseudospiralis,activeSingleton,0
1,Trichinella_spiralis,activeSingleton,0
-1,Trichobilharzia_regenti,activeSingleton,8
-1,Trichoplax_adhaerens,activeSingleton,0
1,Trichuris_muris,activeSingleton,1
1,Trichuris_suis,activeSingleton,1
1,Zootermopsis_nevadensis,activeSingleton,0
-1,Wuchereria_bancrofti,inactiveSingleton,0
-1,Acanthocheilonema_viteae,inactiveSingleton,7
1,Acyrthosiphon_pisum,inactiveSingleton,458
1,Amphimedon_queenslandica,inactiveSingleton,473
-1,Ancylostoma_caninum,inactiveSingleton,11
-1,Ancylostoma_ceylanicum,inactiveSingleton,15
-1,Anopheles_darlingi,inactiveSingleton,30
-1,Anopheles_gambiae,inactiveSingleton,264
1,Apis_mellifera,inactiveSingleton,19
1,Atta_cephalotes,inactiveSingleton,87
1,Belgica_antarctica,inactiveSingleton,51
1,Bombus_impatiens,inactiveSingleton,111
1,Bombyx_mori,inactiveSingleton,175
-1,Brugia_malayi,inactiveSingleton,6
-1,Bursaphelenchus_xylophilus,inactiveSingleton,111
-1,Caenorhabditis_afra,inactiveSingleton,35
-1,Caenorhabditis_angaria,inactiveSingleton,16
-1,Caenorhabditis_brenneri,inactiveSingleton,75
-1,Caenorhabditis_briggsae,inactiveSingleton,49
-1,Caenorhabditis_castelli,inactiveSingleton,12
-1,Caenorhabditis_doughertyi,inactiveSingleton,74
-1,Caenorhabditis_elegans,inactiveSingleton,61
-1,Caenorhabditis_japonica,inactiveSingleton,180
-1,Caenorhabditis_kamaaina,inactiveSingleton,39
-1,Caenorhabditis_latens,inactiveSingleton,4
-1,Caenorhabditis_monodelphis,inactiveSingleton,167
-1,Caenorhabditis_nouraguensis,inactiveSingleton,9
-1,Caenorhabditis_plicata,inactiveSingleton,204
-1,Caenorhabditis_remanei,inactiveSingleton,2
-1,Caenorhabditis_sinica,inactiveSingleton,52
-1,Caenorhabditis_sp21,inactiveSingleton,105
-1,Caenorhabditis_sp26,inactiveSingleton,31
-1,Caenorhabditis_sp28,inactiveSingleton,24
-1,Caenorhabditis_sp29,inactiveSingleton,8
-1,Caenorhabditis_sp31,inactiveSingleton,87
-1,Caenorhabditis_sp32,inactiveSingleton,56
-1,Caenorhabditis_sp34,inactiveSingleton,93
-1,Caenorhabditis_sp38,inactiveSingleton,93
-1,Caenorhabditis_sp39,inactiveSingleton,20
-1,Caenorhabditis_sp40,inactiveSingleton,37
-1,Caenorhabditis_tropicalis,inactiveSingleton,16
-1,Caenorhabditis_virilis,inactiveSingleton,106
1,Capitella_teleta,inactiveSingleton,716
-1,Clonorchis_sinensis,inactiveSingleton,5
1,Crassostrea_gigas,inactiveSingleton,456
-1,Culex_quinquefasciatus,inactiveSingleton,402
1,Danaus_plexippus,inactiveSingleton,41
1,Daphnia_pulex,inactiveSingleton,380
-1,Dendroctonus_ponderosae,inactiveSingleton,254
-1,Dictyocaulus_viviparus,inactiveSingleton,4
-1,Diploscapter_coronatus,inactiveSingleton,121
-1,Dirofilaria_immitis,inactiveSingleton,4
-1,Ditylenchus_destructor,inactiveSingleton,146
-1,Dracunculus_medinensis,inactiveSingleton,50
-1,Drosophila_erecta,inactiveSingleton,21
-1,Drosophila_grimshawi,inactiveSingleton,60
-1,Drosophila_melanogaster,inactiveSingleton,6
-1,Drosophila_mojavensis,inactiveSingleton,72
-1,Drosophila_pseudoobscura,inactiveSingleton,139
-1,Drosophila_simulans,inactiveSingleton,5
-1,Drosophila_yakuba,inactiveSingleton,51
-1,Echinococcus_multilocularis,inactiveSingleton,9
-1,Echinostoma_caproni,inactiveSingleton,213
-1,Elaeophora_elaphi,inactiveSingleton,1
-1,Enterobius_vermicularis,inactiveSingleton,37
-1,Fasciola_hepatica,inactiveSingleton,129
-1,Globodera_pallida,inactiveSingleton,204
-1,Gongylonema_pulchrum,inactiveSingleton,223
-1,Gyrodactylus_salaris,inactiveSingleton,280
-1,Haemonchus_contortus,inactiveSingleton,2
-1,Haemonchus_placei,inactiveSingleton,3
1,Heliconius_melpomene,inactiveSingleton,85
1,Helobdella_robusta,inactiveSingleton,185
-1,Heterorhabditis_bacteriophora,inactiveSingleton,30
-1,Hydatigera_taeniaeformis,inactiveSingleton,50
-1,Hymenolepis_microstoma,inactiveSingleton,108
-1,Hypsibius_dujardini,inactiveSingleton,224
1,Lepeophtheirus_salmonis,inactiveSingleton,1089
1,Lingula_anatina,inactiveSingleton,248
-1,Litomosoides_sigmodontis,inactiveSingleton,2
-1,Loa_loa,inactiveSingleton,13
1,Lottia_gigantea,inactiveSingleton,238
-1,Lucilia_cuprina,inactiveSingleton,295
1,Macrostomum_lignano,inactiveSingleton,180
-1,Megaselia_scalaris,inactiveSingleton,533
1,Melitaea_cinxia,inactiveSingleton,151
-1,Meloidogyne_incognita,inactiveSingleton,106
-1,Mesocestoides_corti,inactiveSingleton,58
-1,Mesorhabditis_belari,inactiveSingleton,352
1,Mnemiopsis_leidyi,inactiveSingleton,459
1,Nasonia_vitripennis,inactiveSingleton,380
